Tanggal,Lokasi,Merk,Model,Penyimpanan,IMEI,Catatan,Stok Pagi,Masuk,Tambah Stok,Return,Terjual,Penyesuaian,Stok Malam
2025-10-17,MBUTOH,VIVO,Y29,128,863245074631752,,1,0,0,0,0,0,1
2025-10-17,MBUTOH,VIVO,V60 Lite,256,860653089396316,,1,0,0,0,0,0,1
2025-10-17,MBUTOH,VIVO,Y19S,128,866675081662670,,1,0,0,0,0,0,1
2025-10-17,MBUTOH,VIVO,Y29,128,866675081086813,,1,0,0,0,0,0,1
2025-10-17,MBUTOH,OPPO,A3,,86046707213654,BK,1,0,0,0,0,0,1
2025-10-17,MBUTOH,REALME,C67,128,866675081662670,PRPL,1,0,0,0,0,0,1
2025-10-17,MBUTOH,SAMSUNG,Galaxy A15,128,866675081662670,RED,1,0,0,0,0,0,1
2025-10-17,MBUTOH,XIAOMI,Redmi 13C,128,866675081662670,UNGU,1,0,0,0,0,0,1
2025-10-17,MBUTOH,INFINIX,Smart 8,128,866675081662670,HITAM,1,0,0,0,0,0,1
2025-10-17,MBUTOH,LAIN-LAIN,LAIN-LAIN,,866675081662670,VIOL,1,0,0,0,0,0,1
