"Tanggal","Lokasi","Merk","Model","Penyimpanan","IMEI","Catatan","Stok Pagi","Masuk","Tambah Stok","Return","Terjual","Penyesuaian","Stok Malam"
"2025-10-19","MBUTOH","OPPO","A3","8/128GB","86046707213654","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","OPPO","A5I","4/128GB","866982077401935","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","OPPO","A5I PRO","8/128GB","864498070270898","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","OPPO","A6 PRO","8/256GB","864588081642596","","1","0","0","0","0","0","1"
"2025-10-19","SOKO","OPPO","A5I","4/64GB","862180072320879","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","REALME","C71","8/128GB","865518078037111","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","REALME","Note 60X","4/64GB","864990074142974","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","REALME","Note 60X","4/64GB","864990074143931","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","REALME","Note 70","4/128GB","868425084182831","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","VIVO","V60 LITE","8/256GB","860653089396316","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","VIVO","Y19s","4/128GB","866675081662670","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","VIVO","Y19s","6/128GB","866675081086813","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","VIVO","Y29","6/128GB","863245074631752","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","REALME","C71","4/128GB","865518077192719","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","REALME","C71","4/128GB","865518076436711","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","SAMSUNG","A06 5G","4/64GB","35782387641695","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","SAMSUNG","A07","4/64GB","350576851468616","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","SAMSUNG","A17","5G","355851150222591","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","XIAOMI","REDMI 15C","6/128GB","868050073025948","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","XIAOMI","POCO C85","6/128GB","860534076990461","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","XIAOMI","Redmi A5","4/128GB","865669077411748","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","XIAOMI","Note 14 5G","8/256GB","864335074814547","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","XIAOMI","POCO M7 PRO 5G","8/128GB","866686071236524","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","XIAOMI","Redmi 13","8/128GB","867098074358165","","1","0","0","0","0","0","1"
"2025-10-19","MBUTOH","XIAOMI","Redmi 15","8/128GB","866391078791924","","1","0","0","0","0","0","1"
